Name,yt_name,Link,start_min,start_sec,end_min,end_sec
bathroom,bathroom,https://youtu.be/j3tuj3W7MFk,0,0,0,4
stay,stay,https://youtu.be/IRpEcHFlSk0,0,0,0,3
buy,buy,https://youtu.be/wyu_qsxDouM,0,0,0,3
tomorrow,tomorrow,https://youtu.be/TMANBpLx6s0,0,0,0,3
win,win,https://youtu.be/-3db5Hhn4mI,0,0,0,2
run,run,https://youtu.be/zI_8os97Bkc,0,0,0,2
want,want-1,https://youtu.be/FmDMlXXPl9c,0,0,0,2
hockey,hockey,https://youtu.be/RCd8Aat8xa4,0,0,0,2
student,student,https://youtu.be/ZhZN3BiLEqg,0,0,0,2
church,church,https://youtu.be/yHgMtQOPid4,0,0,0,3
visit,visit,https://youtu.be/YSKXGgR-m4Y,0,0,0,2
turn,turn,https://youtu.be/aF30g7ajjas,0,0,0,3
try,try,https://youtu.be/dT4Y_R7jVIE,0,0,0,2
travel,travel,https://youtu.be/aI58FdiAz7Y,0,0,0,2
teach,teach,https://youtu.be/wtr_LSVYecQ,0,0,0,2
swim,swim,https://youtu.be/6aqON2kGdHA,0,0,0,2
ride,ride,https://youtu.be/58CE934Cxk0,0,0,0,3
receive,receive,https://youtu.be/L0dm0QB0XNc,0,0,0,2
get,receive,https://youtu.be/L0dm0QB0XNc,0,0,0,2
put,put,https://youtu.be/nDjjCfmeT28,0,0,0,2
push,push,https://youtu.be/FXkWue_0HsY,0,0,0,2
pull,pull,https://youtu.be/d3tDqVfbgCg,0,0,0,2
practice,practise-1,https://youtu.be/ndh4le8xfHY,0,0,0,3
plan,plan,https://youtu.be/zUtEmpaF7kM,0,0,0,2
pay,pay,https://youtu.be/1h164VbpnFo,0,0,0,3
open,open,https://youtu.be/3fG2P5D8Jm0,0,0,0,2
move,move,https://youtu.be/if8EmpcZpQo,0,0,0,3
laugh,laugh,https://youtu.be/N0HOc0gJyRs,0,0,0,3
kick,kick,https://youtu.be/l97vwBQOu94,0,0,0,3
jump,jump,https://youtu.be/djeFrqW7rPE,0,0,0,2
to ,to ,https://youtu.be/pXODwFAlZUg,0,0,0,2
there,there,https://youtu.be/7VB_sLH5j4Q,0,0,0,2
out,out,https://youtu.be/OBPTV3YthOw,0,0,0,2
on,on,https://youtu.be/IdF3Z-HI8QY,0,0,0,2
of,of ,https://youtu.be/Y1KyjzkkP4E,0,0,0,2
near,near,https://youtu.be/Z_LPvE-ICAw,0,0,0,3
in,in  ,https://youtu.be/lQOdXN62MXo,0,0,0,2
here,here,https://youtu.be/u3CQB1epJcM,0,0,0,2
from,from,https://youtu.be/UfYeaYNJV8E,0,0,0,2
down,down,https://youtu.be/3BJDzOlCGcc,0,0,0,2
below,below,https://youtu.be/QBbAwvlhH0o,0,0,0,2
after,after,https://youtu.be/tTjQsNGEeZ0,0,0,0,2
across,across,https://youtu.be/IOz0Yx8IpHU,0,0,0,2
about,about,https://youtu.be/nbGetUh9P74,0,0,0,2
complete,Complete,https://youtu.be/1wVR6wsoIfw,0,1,0,3
woman,woman,https://youtu.be/GoDqsUZU5yk,0,0,0,3
wife,wife-1,https://youtu.be/vEq2LWgecfA,0,0,0,3
son,son,https://youtu.be/tS7NrrYnx_E,0,0,0,4
name,name-1,https://youtu.be/gfTQT5gzASQ,0,0,0,3
man,man,https://youtu.be/rYTt2LuzVhw,0,0,0,4
friend,friend,https://youtu.be/ElXP4DjT3H8,0,0,0,3
family,family,https://youtu.be/7swvJrXBA3I,0,0,0,5
daughter,daughter,https://youtu.be/OjYou9zLuDM,0,0,0,4
boy,boy,https://youtu.be/Yiu0Yd9fSk8,0,0,0,3
baby,baby,https://youtu.be/DPQ-TcGykDw,0,0,0,3
refrigerator,refrigerator,https://youtu.be/f0vvft8hF_c,0,0,0,2
fridge,refrigerator,https://youtu.be/f0vvft8hF_c,0,0,0,2
clock,clock,https://youtu.be/BD6ADUnsyio,0,0,0,2
window,window,https://youtu.be/OCcDnB5VdgU,0,1,0,3
umbrella,umbrella,https://youtu.be/jY2sv02MLIs,0,0,0,3
towel,towel,https://youtu.be/aMs5U3qDEJ4,0,0,0,2
table,table,https://youtu.be/nvofZFSfV1w,0,0,0,2
photograph,photograph,https://youtu.be/icl2XFweTwc,0,0,0,2
picture,picture,https://youtu.be/lKFWhABVO30,0,0,0,2
fan,fan,https://youtu.be/PB7rn__dcKg,0,0,0,2
door,door,https://youtu.be/M9A3PKPxbdY,0,0,0,2
cup,cup,https://youtu.be/-AvE2V_2a-c,0,0,0,1
chair,chair,https://youtu.be/tShdaK0wAgk,0,0,0,2
bottle,bottle,https://youtu.be/Qk6lwjDDsns,0,0,0,2
pencil,pencil-1,https://youtu.be/xlX3VgcSz_o,0,0,0,1
pen,pen-2,https://youtu.be/w88o1TXwwJg,0,0,0,2
paper,paper,https://youtu.be/wIVO3x0WAfk,0,0,0,1
page,page,https://youtu.be/5gyfQ4lGoao,0,0,0,1
file,file,https://youtu.be/dmspcOTLMP8,0,0,0,1
book,book,https://youtu.be/l2ytof4d1r0,0,0,0,1
deaf,deaf,https://youtu.be/2NNiSDCb0ek,0,0,0,2
worry,worry,https://youtu.be/b6mge7fT8p4,0,0,0,2
wish,wish,https://youtu.be/D-6BxGJ0ru8,0,0,0,2
wipe,wipe,https://youtu.be/b4ki5taIk0s,0,0,0,2
welcome,welcome,https://youtu.be/WpleZf7o6Gc,0,0,0,2
weigh,weigh,https://youtu.be/MnSaW7AFr1w,0,0,0,1
wear,wear,https://youtu.be/bR89wUFYe8I,0,0,0,2
waste,waste,https://youtu.be/ALw4b7WFOR4,0,0,0,1
warn,warn,https://youtu.be/sfOCOxSfs10,0,0,0,2
wait,wait-1,https://youtu.be/Ukr__1TiaOo,0,0,0,1
vomit,vomit,https://youtu.be/NMnARovUYLw,0,0,0,2
touch,touch,https://youtu.be/KjuOnxtgNrs,0,0,0,1
tie,tie,https://youtu.be/vbsNiOkm0BU,0,0,0,1
throw,throw,https://youtu.be/NNiFl_dTBk0,0,0,0,2
tease,tease,https://youtu.be/I1pC7URd7qM,0,0,0,1
tear,tear,https://youtu.be/a7rm9Z9Jwcw,0,0,0,2
swing,swing,https://youtu.be/iqPMR6iPPmU,0,0,0,2
sweep,sweep,https://youtu.be/HLLUUMdZkFk,0,0,0,2
suspect,suspect,https://youtu.be/gdk1_A6_e80,0,0,0,1
surprise,surprise,https://youtu.be/ysoReRp9l9A,0,0,0,2
supply,supply,https://youtu.be/SmgLg_SSvZg,0,0,0,1
store,store,https://youtu.be/l19j_Mrajdc,0,0,0,1
stop,stop,https://youtu.be/FEi50jcTxxI,0,0,0,1
stitch,stitch,https://youtu.be/JPGOxP4NRRw,0,0,0,2
stir,stir,https://youtu.be/gvEzY4sw5Z0,0,0,0,2
start,start-1,https://youtu.be/a1Zz3eyS0yE,0,0,0,1
squeeze,squeeze,https://youtu.be/-1aXmLMzHUI,0,0,0,2
spill,spill,https://youtu.be/KNshT57aEW8,0,0,0,1
smile,smile,https://youtu.be/jd3nIcR1SAk,0,0,0,2
show,show,https://youtu.be/z5mb_lff0uI,0,0,0,2
send,send,https://youtu.be/hFbU0wq1A6Y,0,0,0,2
one,numbers,https://youtu.be/ZXqhw1b6_DY,0,0,0,2
two,numbers,https://youtu.be/ZXqhw1b6_DY,0,3,0,5
three,numbers,https://youtu.be/ZXqhw1b6_DY,0,7,0,9
four,numbers,https://youtu.be/ZXqhw1b6_DY,0,11,0,12
five,numbers,https://youtu.be/ZXqhw1b6_DY,0,14,0,15
